COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code de la zone géographique;174;Beaune;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;175;Marmande;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;176;Montceau-les-Mines;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;177;Bar-le-Duc;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;178;Saint-Avold (partie française);CHAR;3
CODGEO;Code géographique;Code de la zone géographique;179;Guéret;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;180;Challans;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;181;Pontarlier;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;182;Vendôme;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;183;Le Creusot;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;184;Longwy;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;185;Bagnols-sur-Cèze;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;186;Granville;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;187;Dinan;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;188;Redon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;189;Bressuire;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;190;Pierrelatte;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;191;Sablé-sur-Sarthe;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;192;Saint-Hilaire-de-Riez;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;193;Verdun;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;194;Issoire;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;195;Saint-Gaudens;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;196;Gien;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;197;Forbach (partie française);CHAR;3
CODGEO;Code géographique;Code de la zone géographique;198;Vire Normandie;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;199;Pamiers;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;200;Sète;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;201;Cavaillon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;202;Montaigu-Vendée;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;203;Romorantin-Lanthenay;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;204;Fontenay-le-Comte;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;205;Coutances;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;206;Tulle;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;207;Pontivy;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;208;Vierzon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;209;Château-Thierry;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;210;Montbrison;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;211;Arcachon - La Teste-de-Buch;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;212;Chemillé-en-Anjou;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;213;Brignoles;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;214;Quimperlé;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;215;Argentan;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;216;Sedan;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;217;Thouars;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;218;Vitry-le-François;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;219;Mayenne;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;220;Fécamp;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;221;Noeux-les-Mines;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;222;Beaucaire;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;223;Châteaudun;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;224;Millau;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;225;Thiers;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;226;Figeac;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;227;La Ferté-Bernard;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;228;Châteaubriant;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;229;Loudéac;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;230;Bernay;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;231;Pornic;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;232;Caudry;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;233;Sarlat-la-Canéda;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;234;Avranches;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;235;Berck;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;236;Hazebrouck;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;237;Pont-Audemer;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;238;Trouville-sur-Mer;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;239;Autun;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;240;Remiremont;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;241;Parthenay;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;242;Noyon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;243;Ambérieu-en-Bugey;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;244;Château-Gontier-sur-Mayenne;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;245;Villefranche-de-Rouergue;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;246;Friville-Escarbotin;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;247;Étaples - Le Touquet-Paris-Plage;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;248;Eu;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;249;Sallanches;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;250;Val de Briey;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;251;Digne-les-Bains;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;252;Nogent-le-Rotrou;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;253;Oloron-Sainte-Marie;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;254;Cosne-Cours-sur-Loire;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;255;Ploërmel;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;256;Bruay-la-Buissière;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;257;Guingamp;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;258;Segré-en-Anjou Bleu;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;259;Luxeuil-les-Bains;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;260;Langres;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;261;Hendaye (partie française);CHAR;3
CODGEO;Code géographique;Code de la zone géographique;262;L'Aigle;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;263;Aire-sur-la-Lys;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;264;Romilly-sur-Seine;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;265;Bayeux;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;266;Biscarrosse;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;267;Privas;CHAR;3
