# Description : Répartition par année scolaire (depuis 2017) des étudiants ayant bénéficié de la bourse Mermoz pour une mobilité internationale.
# Ce dispositif permet aux étudiants inscrits dans un établissement d'enseignement supérieur en Région Hauts-de-France de :
# - suivre un stage en entreprise ou autre organisme (ONG, association, etc.)
# - suivre à l'étranger un parcours de formation en enseignement supérieur
# - bénéficier d’une expérience dans un laboratoire de recherche à l’étranger (Master 2, doctorat)
# - renforcer ou initier des collaborations entre établissements régionaux et étrangers
# - développer le rayonnement international de la région.
# Plus d'informations : https://guide-aides.hautsdefrance.fr/dispositif997
#
# Thématique(s) : FORMATION
# Mots-Clés : AIDE REGIONALE, ETUDIANT, MOBILITE, INTERNATIONAL, FINANCEMENT, PARTICULIER, MERMOZ, UNIVERSITE, ENSEIGNEMENT SUPERIEUR, REGION32
# Mots-Clés de lieu : HAUTS-DE-FRANCE, SOMME, AISNE, NORD, OISE, PAS DE CALAIS
# Conditions d'utilisation : Utilisation libre sous réserve de mentionner la source (a minima le nom du producteur) et la date de sa dernière mise à jour
# Données ouvertes : oui
# Source : Extrait d'une base régionale à partir des dossiers retenus.
# Champs extraits : année de campagne, commune et établissement d'enseignement, diplôme préparé, type de mobilité, pays de destination, ville d'origine, nombre de semaines financés par l'aide Mermoz.
# Attention : données par année scolaire (septembre à juin)
# Date de création : 2024-04-12
# Date de mise à jour des données : 2024-10-14
# Date de mise à jour de la fiche : 2025-03-04
# Fréquence de mise à jour : Une fois par an
# Langue : Français

Campagne,Civilité,Etablissement d'origine,COD_INSEE_ETS,COMMUNE_ETS,Diplome préparé,Type_mobilité,COD_PAYS,Destination,INSEE Commune ou Code_pays,Adresse_commune,Nb Semaines Financées
MERMOZ17,Monsieur,ECOLE DE GESTION ET DE COMMERCE (EGC) LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Stage,MLT,MALTE,59273,GRAVELINES,"12,86"
MERMOZ17,Monsieur,ECOLE DE GESTION ET DE COMMERCE (EGC) LILLE,59350,LILLE,Licence universitaire/Ecole,Stage,USA,ETATS-UNIS,62160,BOULOGNE SUR MER,"12,86"
MERMOZ17,Madame,ECOLE DE GESTION ET DE COMMERCE (EGC) LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Séjour d'étude,MLT,MALTE,62657,PIHEN LES GUINES,"12,57"
MERMOZ17,Madame,ECOLE DE GESTION ET DE COMMERCE (EGC) LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Stage,IDN,INDONESIE,59005,ALLENNES LES MARAIS,"12,57"
MERMOZ17,Madame,ECOLE DE GESTION ET DE COMMERCE (EGC) LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Stage,IDN,INDONESIE,59527,ST ANDRE LEZ LILLE,"12,57"
MERMOZ17,Madame,ECOLE DE GESTION ET DE COMMERCE (EGC) LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Stage,JEY,JERSEY,59512,ROUBAIX,12
MERMOZ17,Madame,ECOLE DE GESTION ET DE COMMERCE (EGC) LILLE,59350,LILLE,Licence universitaire/Ecole,Stage,CYP,CHYPRE,59163,CROIX,"12,86"
MERMOZ17,Madame,ECOLE DE GESTION ET DE COMMERCE (EGC) LILLE,59350,LILLE,Licence universitaire/Ecole,Stage,CYP,CHYPRE,62765,ST OMER,"12,57"
MERMOZ17,Madame,ECOLE DE GESTION ET DE COMMERCE (EGC) LILLE,59350,LILLE,Licence universitaire/Ecole,Stage,IDN,INDONESIE,62863,VIOLAINES,"12,57"
MERMOZ17,Madame,ECOLE DE SAGES FEMMES DU CENTRE HOSPITALIER REGIONAL UNIVERSITAIRE (CHRU) LILLE,59350,LILLE ,Sanitaire,Stage,SEN,SENEGAL,59350,LILLE,"3,86"
MERMOZ17,Madame,ECOLE DE SAGES FEMMES DU CENTRE HOSPITALIER REGIONAL UNIVERSITAIRE (CHRU) LILLE,59350,LILLE ,Sanitaire,Stage,SEN,SENEGAL,59616,VIEUX CONDE,"3,71"
MERMOZ17,Madame,ECOLE DE SAGES FEMMES DU CENTRE HOSPITALIER REGIONAL UNIVERSITAIRE (CHRU) LILLE,59350,LILLE ,Sanitaire,Stage,SEN,SENEGAL,62480,LABOURSE,"3,71"
MERMOZ17,Madame,ECOLE EUROPEENNE SUPERIEURE DU TRAVAIL SOCIAL LILLE,59350,LILLE,Social,Stage,CAN,CANADA,59442,OBRECHIES,"9,57"
MERMOZ17,Monsieur,ECOLE NATIONALE SUPERIEURE DE CHIMIE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Stage,BEL,BELGIQUE,35238,RENNES,26
MERMOZ17,Monsieur,ECOLE NATIONALE SUPERIEURE DE CHIMIE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Stage,GBR,ROYAUME-UNI,59350,LILLE,"12,57"
MERMOZ17,Madame,ECOLE NATIONALE SUPERIEURE DE CHIMIE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Séjour d'étude,FIN,FINLANDE,38169,FONTAINE,"16,29"
MERMOZ17,Madame,ECOLE NATIONALE SUPERIEURE DE CHIMIE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Séjour d'étude,SWE,SUEDE,53130,LAVAL,"20,71"
MERMOZ17,Madame,ECOLE NATIONALE SUPERIEURE DE CHIMIE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Stage,CHN,CHINE,53119,L HUISSERIE,"24,29"
MERMOZ17,Madame,ECOLE NATIONALE SUPERIEURE DE CHIMIE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Stage,DEU,ALLEMAGNE,59399,MERRIS,"12,57"
MERMOZ17,Madame,ECOLE NATIONALE SUPERIEURE DE CHIMIE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Stage,GBR,ROYAUME-UNI,59350,LILLE,"12,86"
MERMOZ17,Madame,ECOLE NATIONALE SUPERIEURE DE CHIMIE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Stage,GBR,ROYAUME-UNI,80244,DOMINOIS,"12,57"
MERMOZ17,Madame,ECOLE NATIONALE SUPERIEURE DE CHIMIE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Stage,ITA,ITALIE,59009,VILLENEUVE D ASCQ,"12,57"
MERMOZ17,Madame,ECOLE NATIONALE SUPERIEURE DE CHIMIE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Stage,MLT,MALTE,59178,DOUAI,12
MERMOZ17,Madame,ECOLE NATIONALE SUPERIEURE DE CHIMIE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Stage,MLT,MALTE,59350,LILLE,12
MERMOZ17,Madame,ECOLE NATIONALE SUPERIEURE DE CHIMIE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Stage,NLD,PAYS-BAS,59009,VILLENEUVE D ASCQ,"13,57"
MERMOZ17,Madame,ECOLE NATIONALE SUPERIEURE DE CHIMIE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Stage,SGP,SINGAPOUR,62019,AIX NOULETTE,12
MERMOZ17,Madame,ECOLE NATIONALE SUPERIEURE DE CHIMIE LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Stage,VNM,VIET NAM,77169,EMERAINVILLE,12
MERMOZ17,Madame,ECOLE NATIONALE SUPERIEURE DE CHIMIE LILLE,59350,LILLE,Master universitaire/Ecole,Stage,GBR,ROYAUME-UNI,94076,VILLEJUIF,"12,57"
MERMOZ17,Monsieur,ECOLE NATIONALE SUPERIEURE DES ARTS ET INDUSTRIES TEXTILES LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Séjour d'étude,CHN,CHINE,27428,LE NEUBOURG,"18,86"
MERMOZ17,Monsieur,ECOLE NATIONALE SUPERIEURE DES ARTS ET INDUSTRIES TEXTILES LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Séjour d'étude,CHN,CHINE,45129,DOUCHY,"14,29"
MERMOZ17,Monsieur,ECOLE NATIONALE SUPERIEURE DES ARTS ET INDUSTRIES TEXTILES LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Séjour d'étude,CHN,CHINE,59295,HAZEBROUCK,"14,29"
MERMOZ17,Monsieur,ECOLE NATIONALE SUPERIEURE DES ARTS ET INDUSTRIES TEXTILES LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Séjour d'étude,IND,INDE,22262,QUINTIN,"19,57"
MERMOZ17,Monsieur,ECOLE NATIONALE SUPERIEURE DES ARTS ET INDUSTRIES TEXTILES LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Séjour d'étude,IND,INDE,59014,ANZIN,"19,57"
MERMOZ17,Monsieur,ECOLE NATIONALE SUPERIEURE DES ARTS ET INDUSTRIES TEXTILES LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Séjour d'étude,IND,INDE,93027,LA COURNEUVE,"19,57"
MERMOZ17,Monsieur,ECOLE NATIONALE SUPERIEURE DES ARTS ET INDUSTRIES TEXTILES LILLE,59350,LILLE,"Diplôme ingénieur/Ecole 
de commerce",Séjour d'étude,RUS,RUSSIE,63103,CHATELGUYON,"14,86"
