Numero d'action ,Organisme,Arrondissement,Lieux,Code INSEE  communes,Formation 2024,Formation 1T 2025
2023_A0034_ORDI_ALIL_0001,ORDINAT'HEM,LILLE,HEM,59299,X,X
2023_A1014_GIP _AVER_0001,GIP FORINVAL,VERVINS,HIRSON,02381,X,X
2023_A1459_IRFA_AVER_0001,IRFA,VERVINS,HIRSON,02381,X,X
2023_B0009_CFP0_ALAL_0002,CFP02,LAON LAONNOIS,LAON,02408,X,X
2023_A0163_INST_ALAL_0001,INSTEP,LAON LAONNOIS,LAON,02408,X,X
2023_A1459_IRFA_ALAL_0001,IRFA,LAON LAONNOIS,LAON,02408,X,X
2023_A1014_GIP _ASEN_0001,GIP FORINVAL,SENLIS,SENLIS,60612,X,
2023_A0093_GIP _ACAM_0001,GIP FCIP LILLE,CAMBRAI,LE CATEAU CAMBRESIS,59136,X,X
2023_A1014_GIP _AAMI_0002,GIP FORINVAL,AMIENS,FLIXECOURT,80318,X,
2023_A1014_GIP _AAMI_0002,GIP FORINVAL,AMIENS,CORBIE,80212,X,
2023_A1459_IRFA_ACAM_0001,IRFA,CAMBRAI,LE CATEAU CAMBRESIS,59136,X,X
2023_A1014_GIP _AMOD_0001,GIP FORINVAL,MONTDIDIER,ROYE,80685,X,
2023_A0093_GIP _ALEN_0001,GIP FCIP LILLE,LENS,LENS,62498,X,X
2023_A1014_GIP _APER_0001,GIP FORINVAL,PERONNE,ALBERT,80016,X,
2023_A0155_ID F_ADOU_0001,ID FORMATION,DOUAI,ANICHE,59008,X,
2023_A1459_IRFA_ALEN_0001,IRFA,LENS,LENS,62498,X,X
2023_A0155_ID F_ABET_0001,ID FORMATION,BETHUNE,AUCHEL,62048,X,
2023_A0155_ID F_ABET_0001,ID FORMATION,BETHUNE,HAISNE LES LA BASSEE,62401,X,
2023_A0093_GIP _ALEN_0001,GIP FCIP LILLE,LENS,LIEVIN,62510,X,X
2023_A0155_ID F_ALEN_0001,ID FORMATION,LENS,VENDIN LE VIEIL,62842,X,
2023_A0155_ID F_ALEN_0001,ID FORMATION,LENS,NOYELLE GODAULT,62624,X,
2023_A0167_SJT_ALEN_0002,SJT,LENS,LIEVIN,62510,X,X
2023_A0087_FCP _ALIL_0001,FCP ATELIER,LILLE,LILLE,59350,X,X
2023_A0163_INST_AAVE_0001,INSTEP,AVESNES SUR HELPE,ROUSIES,59514,X,
2023_A0163_INST_AAVE_0001,INSTEP,AVESNES SUR HELPE,JEUMONT,59324,X,
2023_A0093_GIP _ALIL_0001,GIP FCIP LILLE,LILLE,LILLE,59350,X,X
2023_A0163_INST_ACAM_0001,INSTEP,CAMBRAI,CAUDRY,59139,X,
2023_A0163_INST_ALIL_0001,INSTEP,LILLE,LILLE,59350,X,X
2023_A0163_INST_ADKF_0001,INSTEP,DUNKERQUE FLANDRE,BAILLEUL,59043,X,
